user_id,bill_id,line_item_amount,bill_discount,transaction_date,description,inventory_category,colour,size,zone_name,store_name,year
519644808,741961800,559.6,0.0,4/20/2022,MBL ITA16BLT004 Regular Casual Tan 32,MENS BELT,Tan,32,North,North_6023,2022
519644808,741961800,559.6,0.0,4/20/2022,MBL ITA16BLT004 Regular Casual Tan 32,MENS BELT,Tan,32,North,North_6023,2022
504795522,692673877,699.5,0.0,1/27/2022,MBL ITA16BLT004 Regular Casual Tan 34,MENS BELT,Tan,34,East,East_6510,2022
12626591,768369011,519.6,0.0,10/9/2022,MBL ITA16BLT001 Regular Casual Dark Brown 32,MENS BELT,Dark Brown,32,South,South_6017,2022
12626591,768369011,519.6,0.0,10/9/2022,MBL ITA16BLT001 Regular Casual Dark Brown 32,MENS BELT,Dark Brown,32,South,South_6017,2022
12626591,768369011,519.6,0.0,10/9/2022,MBL ITA16BLT001 Regular Casual Dark Brown 32,MENS BELT,Dark Brown,32,South,South_6017,2022
12626591,768369011,519.6,0.0,10/9/2022,MBL ITA16BLT001 Regular Casual Dark Brown 32,MENS BELT,Dark Brown,32,South,South_6017,2022
12626591,768369011,519.6,0.0,10/9/2022,MBL ITA16BLT001 Regular Casual Dark Brown 32,MENS BELT,Dark Brown,32,South,South_6017,2022
12626591,768369011,519.6,0.0,10/9/2022,MBL ITA16BLT001 Regular Casual Dark Brown 32,MENS BELT,Dark Brown,32,South,South_6017,2022
12626591,768369011,519.6,0.0,10/9/2022,MBL ITA16BLT001 Regular Casual Dark Brown 32,MENS BELT,Dark Brown,32,South,South_6017,2022
496507098,779140853,559.6,0.0,11/10/2022,MBL ITS17BLT005 Regular Casual Tan 34,MENS BELT,Tan,34,South,South_6028,2022
496507098,779140853,559.6,0.0,11/10/2022,MBL ITS17BLT005 Regular Casual Tan 34,MENS BELT,Tan,34,South,South_6028,2022
518922122,740235900,"9,371,713",0.0,7/4/2022,BSW TBA17SWK607 Regular LS Navy L,BOYS SWEATER,Navy,L,South,South_6028,2022
265821333,741719450,"12,430,383",0.0,4/8/2022,MSH ITA17SHK234 Slim LS Navy S,MENS SHIRT,Navy,S,South,South_6001,2022
265821333,741719450,"12,430,383",0.0,4/8/2022,MSH ITA17SHK234 Slim LS Navy S,MENS SHIRT,Navy,S,South,South_6001,2022
505086766,693993536,"13,842,867",0.0,2/2/2022,MSH ITA17SHK234 Slim LS Navy S,MENS SHIRT,Navy,S,South,South_7474,2022
519752413,742055389,2999.5,0.0,4/22/2022,MJA ITA17JKK007 Sportcoat LS Navy XL,MENS JACKET,Navy,XL,South,South_6028,2022
519068031,740843639,"10,630,603",0.0,7/6/2022,MTR ITMTR00017 Kansas FF Cement 38,MENS TROUSER,Cement,38,South,South_6005,2022
519068031,740843639,"10,630,603",0.0,7/6/2022,MTR ITMTR00017 Kansas FF Cement 38,MENS TROUSER,Cement,38,South,South_6005,2022
357496939,747217849,1449.5,0.0,7/28/2022,MTR ITMTR00048 Brooklyn FF Navy 34,MENS TROUSER,Navy,34,East,East_6510,2022
357496939,747217849,1449.5,0.0,7/28/2022,MTR ITMTR00048 Brooklyn FF Navy 34,MENS TROUSER,Navy,34,East,East_6510,2022
504939103,795204703,"11,822,877",0.0,12/31/2022,MTR ITMTR00047 Brooklyn FF Olive 32,Mens Trouser - Sportswear,Olive,32,South,South_7154,2022
522798577,759705178,"11,357,631",0.0,6/1/2022,MDE ITMDN00005 Brooklyn 5P Black 36,Mens Denim Trouser - Jeanswear,Black,36,East,East_6037,2022
527284161,766346689,1209.45,0.0,10/2/2022,MDE ITMDN00005 Brooklyn 5P Black 36,Mens Denim Trouser - Jeanswear,Black,36,East,East_6037,2022
